./oc-mirror list operators --catalog=registry.redhat.io/redhat/redhat-operator-index:v4.20 --version=4.20
W1216 03:28:31.960645   32399 mirror.go:88] ⚠️  oc-mirror v1 is deprecated (started in 4.18 release) and will be removed in a future release - please migrate to oc-mirror --v2
W1216 03:28:31.960708   32399 mirror.go:89] ⚠️  starting with oc-mirror 4.21, the use of the flag --v1 or --v2 is mandatory, please use --v2 to use the supported oc-mirror version or --v1 to continue using the oc-mirror deprecated version
W1216 03:28:31.960724   32399 mirror.go:90] ⚠️  the sub-commands list, describe and init are only implemented in oc-mirror v1, so please use --v1 for these sub-commands until some replacement is provided


NAME                                          DISPLAY NAME  DEFAULT CHANNEL
3scale-operator                                             threescale-2.13
advanced-cluster-management                                 release-2.15
amq-broker-rhel8                                            7.12.x
amq-broker-rhel9                                            7.13.x
amq-online                                                  stable
amq-streams                                                 stable
amq-streams-console                                         alpha
amq-streams-proxy                                           alpha
amq7-interconnect-operator                                  1.10.x
ansible-automation-platform-operator                        stable-2.6
ansible-cloud-addons-operator                               stable-2.5-cluster-scoped
apicast-operator                                            threescale-2.14
apicurio-registry-3                                         3.x
authorino-operator                                          stable
aws-efs-csi-driver-operator                                 stable
aws-load-balancer-operator                                  stable-v1
bamoe-businessautomation-operator                           8.x-stable
bamoe-kogito-operator                                       8.x
bpfman-operator                                             stable
businessautomation-operator                                 stable
cephcsi-operator                                            stable-4.20
cincinnati-operator                                         v1
cli-manager                                                 tech-preview
cluster-kube-descheduler-operator                           stable
cluster-logging                                             stable-6.4
cluster-observability-operator                              stable
clusterresourceoverride                                     stable
compliance-operator                                         stable
container-security-operator                                 stable-3.15
costmanagement-metrics-operator                             stable
cryostat-operator                                           stable
datagrid                                                    stable
devspaces                                                   stable
devworkspace-operator                                       fast
dns-operator                                                stable
dpu-network-operator                                        stable
dpu-operator                                                stable
eap                                                         stable
external-dns-operator                                       stable-v1
fence-agents-remediation                                    stable
file-integrity-operator                                     stable
fuse-apicurito                                              fuse-apicurito-7.13.x
fuse-console                                                7.13.x
fuse-online                                                 latest
gatekeeper-operator-product                                 stable
gcp-filestore-csi-driver-operator                           stable
ingress-node-firewall                                       stable
job-set                                                     tech-preview-v0.1
jws-operator                                                alpha
kernel-module-management                                    stable
kernel-module-management-hub                                stable
kiali-ossm                                                  stable
kubernetes-nmstate-operator                                 stable
kubevirt-hyperconverged                                     stable
kueue-operator                                              stable-v1.1
leader-worker-set                                           stable-v1.0
lifecycle-agent                                             stable
lightspeed-operator                                         stable
limitador-operator                                          stable
local-storage-operator                                      stable
logic-operator-rhel8                                        alpha
loki-operator                                               stable-6.4
lvms-operator                                               stable-4.20
machine-deletion-remediation                                stable
mcg-operator                                                stable-4.20
metallb-operator                                            stable
model-validation-operator                                   tech-preview
mta-operator                                                stable-v8.0
mtc-operator                                                release-v1.8
mtr-operator                                                alpha
mtv-operator                                                release-v2.10
multiarch-tuning-operator                                   stable
multicluster-engine                                         stable-2.10
multicluster-global-hub-operator-rh                         release-1.6
netobserv-operator                                          stable
nfd                                                         stable
node-healthcheck-operator                                   stable
node-maintenance-operator                                   stable
node-observability-operator                                 alpha
numaresources-operator                                      4.20
o-cloud-manager                                             stable
ocs-client-operator                                         stable-4.20
ocs-operator                                                stable-4.20
odf-csi-addons-operator                                     stable-4.20
odf-dependencies                                            stable-4.20
odf-external-snapshotter-operator                           stable-4.20
odf-multicluster-orchestrator                               stable-4.20
odf-operator                                                stable-4.20
odf-prometheus-operator                                     stable-4.20
odr-cluster-operator                                        stable-4.20
odr-hub-operator                                            stable-4.20
openshift-builds-operator                                   latest
openshift-cert-manager-operator                             stable-v1
openshift-custom-metrics-autoscaler-operator                stable
openshift-external-secrets-operator                         stable-v1
openshift-gitops-operator                                   latest
openshift-pipelines-operator-rh                             latest
openshift-secondary-scheduler-operator                      stable
opentelemetry-product                                       stable
pf-status-relay-operator                                    stable
ptp-operator                                                stable
quay-bridge-operator                                        stable-3.15
quay-operator                                               stable-3.15
recipe                                                      stable-4.20
red-hat-camel-k                                             1.10.x
red-hat-hawtio-operator                                     stable-v1
redhat-oadp-operator                                        stable
rh-service-binding-operator                                 stable
rhacs-operator                                              stable
rhbk-operator                                               stable-v26.4
rhcl-operator                                               stable
rhdh                                                        fast
rhods-operator                                              stable
rhods-prometheus-operator                                   beta
rhpam-kogito-operator                                       7.x
rhsso-operator                                              stable
rhtas-operator                                              stable
rhtpa-operator                                              stable-v1.1
rook-ceph-operator                                          stable-4.20
run-once-duration-override-operator                         stable
runtimes-inventory-operator                                 stable
sandboxed-containers-operator                               stable
secrets-store-csi-driver-operator                           stable
security-profiles-operator                                  release-alpha-rhel-8
self-node-remediation                                       stable
serverless-operator                                         stable
service-registry-operator                                   2.x
servicemeshoperator                                         stable
servicemeshoperator3                                        stable
skupper-netobs-operator                                     stable-2
skupper-operator                                            stable-2
smb-csi-driver-operator                                     stable
sriov-network-operator                                      stable
submariner                                                  stable-0.22
support-log-gather-operator                                 tech-preview
tang-operator                                               alpha
tempo-product                                               stable
topology-aware-lifecycle-manager                            stable
trustee-operator                                            stable
vertical-pod-autoscaler                                     stable
volsync-product                                             stable
web-terminal                                                fast
windows-machine-config-operator                             stable
